Location	PovPct	Brth15to17	Brth18to19	ViolCrime	TeenBrth
Alabama	20.1	31.5	88.7	11.2	54.5
Alaska	7.1	18.9	73.7	9.1	39.5
Arizona	16.1	35	102.5	10.4	61.2
Arkansas	14.9	31.6	101.7	10.4	59.9
California	16.7	22.6	69.1	11.2	41.1
Colorado	8.8	26.2	79.1	5.8	47
Connecticut	9.7	14.1	45.1	4.6	25.8
Delaware	10.3	24.7	77.8	3.5	46.3
District_of_Columbia	22	44.8	101.5	65	69.1
Florida	16.2	23.2	78.4	7.3	44.5
Georgia	12.1	31.4	92.8	9.5	55.7
Hawaii	10.3	17.7	66.4	4.7	38.2
Idaho	14.5	18.4	69.1	4.1	39.1
Illinois	12.4	23.4	70.5	10.3	42.2
Indiana	9.6	22.6	78.5	8	44.6
Iowa	12.2	16.4	55.4	1.8	32.5
Kansas	10.8	21.4	74.2	6.2	43
Kentucky	14.7	26.5	84.8	7.2	51
Louisiana	19.7	31.7	96.1	17	58.1
Maine	11.2	11.9	45.2	2	25.4
Maryland	10.1	20	59.6	11.8	35.4
Massachusetts	11	12.5	39.6	3.6	23.3
Michigan	12.2	18	60.8	8.5	34.8
Minnesota	9.2	14.2	47.3	3.9	27.5
Mississippi	23.5	37.6	103.3	12.9	64.7
Missouri	9.4	22.2	76.6	8.8	44.1
Montana	15.3	17.8	63.3	3	36.4
Nebraska	9.6	18.3	64.2	2.9	37
Nevada	11.1	28	96.7	10.7	53.9
New_Hampshire	5.3	8.1	39	1.8	20
New_Jersey	7.8	14.7	46.1	5.1	26.8
New_Mexico	25.3	37.8	99.5	8.8	62.4
New_York	16.5	15.7	50.1	8.5	29.5
North_Carolina	12.6	28.6	89.3	9.4	52.2
North_Dakota	12	11.7	48.7	0.9	27.2
Ohio	11.5	20.1	69.4	5.4	39.5
Oklahoma	17.1	30.1	97.6	12.2	58
Oregon	11.2	18.2	64.8	4.1	36.8
Pennsylvania	12.2	17.2	53.7	6.3	31.6
Rhode_Island	10.6	19.6	59	3.3	35.6
South_Carolina	19.9	29.2	87.2	7.9	53
South_Dakota	14.5	17.3	67.8	1.8	38
Tennessee	15.5	28.2	94.2	10.6	54.3
Texas	17.4	38.2	104.3	9	64.4
Utah	8.4	17.8	62.4	3.9	36.8
Vermont	10.3	10.4	44.4	2.2	24.2
Virginia	10.2	19	66	7.6	37.6
Washington	12.5	16.8	57.6	5.1	33
West_Virginia	16.7	21.5	80.7	4.9	45.5
Wisconsin	8.5	15.9	57.1	4.3	32.3
Wyoming	12.2	17.7	72.1	2.1	39.9
